Domain,PC
Film,57.14285714
Film,80.62015504
Film,4.92030492
Film,50
Film,0.30611365
Film,94.31413484
Film,92.61555806
Film,99.96022275
Film,78.76712329
Film,33.33333333
Sport,82.21153846
Sport,66.66666667
Sport,50
Sport,64
Sport,88.88888889
Sport,50
Sport,60
Sport,81.48148148
Sport,90.90909091
Sport,25
Person,34.1587538
Person,42.41128687
Person,97.14285714
Person,26.04698672
Person,78.16411683
Person,98.06451613
Person,88
Person,59.83413789
Person,99.7630587
Person,98.34710744
Drug,100
Drug,73.33333333
Drug,65.5
Drug,7.674418605
Drug,7.619047619
Drug,100
Drug,50
Drug,33.33333333
Drug,58.82352941
Drug,33.33333333
Music,65.65146873
Music,0.096851249
Music,89.69072165
Music,80
Music,99.51175639
Music,1.951455939
Music,16.66666667
Music,92.23744292
Music,86.30667839
Music,100
History,9.523809524
History,0.240673887
History,99.77375566
History,0.741839763
History,88.88888889
History,80
History,50
History,98.87610596
History,0.155279503
History,13.04347826
